format,level,variable,target,iskey
nmdbioticv3,fishstation,serialnumber,Station,
nmdbioticv3,fishstation,nation,Station,
nmdbioticv3,fishstation,catchplatform,Station,
nmdbioticv3,fishstation,station,Station,
nmdbioticv3,fishstation,fixedstation,Station,
nmdbioticv3,fishstation,stationstartdate,Station,
nmdbioticv3,fishstation,stationstarttime,Station,
nmdbioticv3,fishstation,stationstopdate,Station,
nmdbioticv3,fishstation,stationstoptime,Station,
nmdbioticv3,fishstation,stationtype,Station,
nmdbioticv3,fishstation,latitudestart,Station,
nmdbioticv3,fishstation,longitudestart,Station,
nmdbioticv3,fishstation,latitudeend,Station,
nmdbioticv3,fishstation,longitudeend,Station,
nmdbioticv3,fishstation,system,Station,
nmdbioticv3,fishstation,area,Station,
nmdbioticv3,fishstation,location,Station,
nmdbioticv3,fishstation,bottomdepthstart,Station,
nmdbioticv3,fishstation,bottomdepthstop,Station,
nmdbioticv3,fishstation,bottomdepthmean,Station,
nmdbioticv3,fishstation,fishingdepthstart,Station,
nmdbioticv3,fishstation,fishingdepthstop,Station,
nmdbioticv3,fishstation,fishingdepthcount,Station,
nmdbioticv3,fishstation,fishingdepthmax,Station,
nmdbioticv3,fishstation,fishingdepthmin,Station,
nmdbioticv3,fishstation,fishingdepthmean,Station,
nmdbioticv3,fishstation,fishingdepthtemperature,Station,
nmdbioticv3,fishstation,gearno,Station,
nmdbioticv3,fishstation,sweeplength,Station,
nmdbioticv3,fishstation,gear,Station,
nmdbioticv3,fishstation,gearcount,Station,
nmdbioticv3,fishstation,direction,Station,
nmdbioticv3,fishstation,gearflow,Station,
nmdbioticv3,fishstation,vesselspeed,Station,
nmdbioticv3,fishstation,logstart,Station,
nmdbioticv3,fishstation,logstop,Station,
nmdbioticv3,fishstation,distance,Station,
nmdbioticv3,fishstation,gearcondition,Station,
nmdbioticv3,fishstation,samplequality,Station,
nmdbioticv3,fishstation,verticaltrawlopening,Station,
nmdbioticv3,fishstation,verticaltrawlopeningsd,Station,
nmdbioticv3,fishstation,trawldoortype,Station,
nmdbioticv3,fishstation,trawldoorarea,Station,
nmdbioticv3,fishstation,trawldoorweight,Station,
nmdbioticv3,fishstation,trawldoorspread,Station,
nmdbioticv3,fishstation,trawldoorspreadsd,Station,
nmdbioticv3,fishstation,wingspread,Station,
nmdbioticv3,fishstation,wingspreadsd,Station,
nmdbioticv3,fishstation,wirelength,Station,
nmdbioticv3,fishstation,wirediameter,Station,
nmdbioticv3,fishstation,wiredensity,Station,
nmdbioticv3,fishstation,soaktime,Station,
nmdbioticv3,fishstation,tripno,Station,
nmdbioticv3,fishstation,fishabundance,Station,
nmdbioticv3,fishstation,fishdistribution,Station,
nmdbioticv3,fishstation,landingsite,Station,
nmdbioticv3,fishstation,fishingground,Station,
nmdbioticv3,fishstation,vesselcount,Station,
nmdbioticv3,fishstation,dataquality,Station,
nmdbioticv3,fishstation,haulvalidity,Station,
nmdbioticv3,fishstation,flora,Station,
nmdbioticv3,fishstation,vegetationcover,Station,
nmdbioticv3,fishstation,visibility,Station,
nmdbioticv3,fishstation,waterlevel,Station,
nmdbioticv3,fishstation,winddirection,Station,
nmdbioticv3,fishstation,windspeed,Station,
nmdbioticv3,fishstation,clouds,Station,
nmdbioticv3,fishstation,sea,Station,
nmdbioticv3,fishstation,weather,Station,
nmdbioticv3,fishstation,stationcomment,Station,
nmdbioticv3,catchsample,commonname,SpeciesCategory,
nmdbioticv3,catchsample,catchcategory,SpeciesCategory,
nmdbioticv3,catchsample,catchpartnumber,SpeciesCategory,
nmdbioticv3,catchsample,aphia,SpeciesCategory,
nmdbioticv3,catchsample,scientificname,SpeciesCategory,
nmdbioticv3,catchsample,identification,SpeciesCategory,
nmdbioticv3,catchsample,foreignobject,SpeciesCategory,
nmdbioticv3,catchsample,sampletype,SpeciesCategory,
nmdbioticv3,catchsample,group,SpeciesCategory,
nmdbioticv3,catchsample,conservation,SpeciesCategory,
nmdbioticv3,catchsample,catchproducttype,SpeciesCategory,
nmdbioticv3,catchsample,raisingfactor,SpeciesCategory,
nmdbioticv3,catchsample,catchweight,SpeciesCategory,
nmdbioticv3,catchsample,catchvolume,SpeciesCategory,
nmdbioticv3,catchsample,catchcount,SpeciesCategory,
nmdbioticv3,catchsample,abundancecategory,SpeciesCategory,
nmdbioticv3,catchsample,sampleproducttype,SpeciesCategory,
nmdbioticv3,catchsample,lengthmeasurement,SpeciesCategory,
nmdbioticv3,catchsample,lengthsampleweight,SpeciesCategory,
nmdbioticv3,catchsample,lengthsamplevolume,SpeciesCategory,
nmdbioticv3,catchsample,lengthsamplecount,SpeciesCategory,
nmdbioticv3,catchsample,specimensamplecount,SpeciesCategory,
nmdbioticv3,catchsample,agesamplecount,SpeciesCategory,
nmdbioticv3,catchsample,agingstructure,SpeciesCategory,
nmdbioticv3,catchsample,parasite,SpeciesCategory,
nmdbioticv3,catchsample,stomach,SpeciesCategory,
nmdbioticv3,catchsample,intestine,SpeciesCategory,
nmdbioticv3,catchsample,tissuesample,SpeciesCategory,
nmdbioticv3,catchsample,samplerecipient,SpeciesCategory,
nmdbioticv3,catchsample,catchcomment,SpeciesCategory,
nmdbioticv3,catchsample,catchsampleid,SpeciesCategory,
